,precision,recall,f1-score,support
barely-true,0.2774869109947644,0.25,0.2630272952853598,212.0
false,0.30564784053156147,0.36947791164658633,0.33454545454545453,249.0
half-true,0.25609756097560976,0.23773584905660378,0.2465753424657534,265.0
mostly-true,0.28,0.29045643153526973,0.285132382892057,241.0
pants-fire,0.3111111111111111,0.15217391304347827,0.20437956204379562,92.0
true,0.2777777777777778,0.3125,0.29411764705882354,208.0
accuracy,0.281767955801105,0.281767955801105,0.281767955801105,0.281767955801105
macro avg,0.2846868668984708,0.26872401754698966,0.27129628071520734,1267.0
weighted avg,0.2815149100882285,0.281767955801105,0.27869168516889453,1267.0
