,precision,recall,f1-score,support
fake,0.9970181043663472,0.9968057921635435,0.9969119369609201,4696.0
real,0.9964994165694282,0.9967320261437909,0.9966157077838721,4284.0
accuracy,0.9967706013363029,0.9967706013363029,0.9967706013363029,0.9967706013363029
macro avg,0.9967587604678877,0.9967689091536671,0.996763822372396,8980.0
weighted avg,0.9967706590966366,0.9967706013363029,0.9967706178301323,8980.0
