,precision,recall,f1-score,support
barely-true,0.25757575757575757,0.24056603773584906,0.24878048780487805,212.0
false,0.28346456692913385,0.2891566265060241,0.28628230616302186,249.0
half-true,0.2673992673992674,0.27547169811320754,0.27137546468401486,265.0
mostly-true,0.1978021978021978,0.22406639004149378,0.21011673151750973,241.0
pants-fire,0.18181818181818182,0.13043478260869565,0.1518987341772152,92.0
true,0.26108374384236455,0.2548076923076923,0.25790754257907544,208.0
accuracy,0.24861878453038674,0.24861878453038674,0.24861878453038674,0.24861878453038674
macro avg,0.24152395256115047,0.23575053788549372,0.23772687782095248,1267.0
weighted avg,0.24842349230389502,0.24861878453038674,0.24798566731409777,1267.0
