,barely-true,false,half-true,mostly-true,pants-fire,true
barely-true,51,51,36,39,10,25
false,30,72,54,42,17,34
half-true,43,35,73,71,9,34
mostly-true,42,40,47,54,8,50
pants-fire,15,25,20,13,12,7
true,17,31,43,54,10,53
