,precision,recall,f1-score,support
center,0.6361974405850092,0.5809682804674458,0.6073298429319371,599.0
left,0.4645161290322581,0.5373134328358209,0.4982698961937716,402.0
right,0.3854166666666667,0.3712374581939799,0.3781942078364566,299.0
accuracy,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.5192307692307693
macro avg,0.495376745427978,0.49650639049908224,0.49459798232072183,1300.0
weighted avg,0.5254287185497858,0.5192307692307693,0.5209039556378671,1300.0
