,precision,recall,f1-score,support
center,0.6295652173913043,0.6043405676126878,0.616695059625213,599.0
left,0.48366013071895425,0.5522388059701493,0.5156794425087108,402.0
right,0.45864661654135336,0.4080267558528428,0.431858407079646,299.0
accuracy,0.5430769230769231,0.5430769230769231,0.5430769230769231,0.5430769230769231
macro avg,0.5239573215505373,0.52153537647856,0.5214109697378566,1300.0
weighted avg,0.5451355970094427,0.5430769230769231,0.5429454925544758,1300.0
