,precision,recall,f1-score,support
fake,0.9922928709055877,0.9870102214650767,0.9896444966371304,4696.0
real,0.9858435831979577,0.9915966386554622,0.9887117421156756,4284.0
accuracy,0.9891982182628062,0.9891982182628062,0.9891982182628062,0.9891982182628062
macro avg,0.9890682270517728,0.9893034300602694,0.989178119376403,8980.0
weighted avg,0.9892161728499657,0.9891982182628062,0.9891995166404809,8980.0
