,barely-true,false,half-true,mostly-true,pants-fire,true
barely-true,43,48,44,42,8,27
false,38,60,59,43,13,36
half-true,43,48,67,62,12,33
mostly-true,38,38,53,53,10,49
pants-fire,18,21,22,8,12,11
true,18,30,45,55,12,48
