,precision,recall,f1-score,support
barely-true,0.21717171717171718,0.2028301886792453,0.2097560975609756,212.0
false,0.24489795918367346,0.24096385542168675,0.242914979757085,249.0
half-true,0.23103448275862068,0.2528301886792453,0.24144144144144145,265.0
mostly-true,0.20152091254752852,0.21991701244813278,0.21031746031746032,241.0
pants-fire,0.1791044776119403,0.13043478260869565,0.1509433962264151,92.0
true,0.23529411764705882,0.23076923076923078,0.23300970873786409,208.0
accuracy,0.22336227308603,0.22336227308603,0.22336227308603,0.22336227308603
macro avg,0.21817061115342318,0.21295754310103943,0.2147305140068736,1267.0
weighted avg,0.22275411376717782,0.22336227308603,0.22255361044296515,1267.0
