,precision,recall,f1-score,support
center,0.5786163522012578,0.4607679465776294,0.5130111524163569,599.0
left,0.3956262425447316,0.49502487562189057,0.4397790055248619,402.0
right,0.24375,0.2608695652173913,0.2520193861066236,299.0
accuracy,0.42538461538461536,0.42538461538461536,0.42538461538461536,0.42538461538461536
macro avg,0.4059975315819964,0.40555412913897043,0.4016031813492808,1300.0
weighted avg,0.44501091882425814,0.42538461538461536,0.43033741304944056,1300.0
