,precision,recall,f1-score,support
fake,0.9988545246277205,1.0,0.9994269340974212,2616.0
real,1.0,0.9987416107382551,0.9993704092339979,2384.0
accuracy,0.9994,0.9994,0.9994,0.9994
macro avg,0.9994272623138603,0.9993708053691275,0.9993986716657095,5000.0
weighted avg,0.9994006872852235,0.9994,0.999399983042541,5000.0
