,precision,recall,f1-score,support
center,0.6495049504950495,0.5475792988313857,0.5942028985507246,599.0
left,0.4479638009049774,0.4925373134328358,0.46919431279620855,402.0
right,0.35410764872521244,0.4180602006688963,0.3834355828220859,299.0
accuracy,0.5007692307692307,0.5007692307692307,0.5007692307692307,0.5007692307692307
macro avg,0.4838588000417465,0.4860589376443725,0.4822775980563397,1300.0
weighted avg,0.5192408463685955,0.5007692307692307,0.5070699147998181,1300.0
