,precision,recall,f1-score,support
barely-true,0.25625,0.19339622641509435,0.22043010752688172,212.0
false,0.2653061224489796,0.3132530120481928,0.287292817679558,249.0
half-true,0.23839009287925697,0.29056603773584905,0.2619047619047619,265.0
mostly-true,0.21262458471760798,0.26556016597510373,0.23616236162361623,241.0
pants-fire,0.15384615384615385,0.021739130434782608,0.0380952380952381,92.0
true,0.23863636363636365,0.20192307692307693,0.21875,208.0
accuracy,0.23993685872138912,0.23993685872138912,0.23993685872138912,0.23993685872138912
macro avg,0.22750888625472698,0.21440627492201658,0.210439214471676,1267.0
weighted avg,0.23566877175213286,0.23993685872138912,0.23172197897294727,1267.0
