,barely-true,false,half-true,mostly-true,pants-fire,true
barely-true,41,57,54,39,0,21
false,27,78,55,51,3,35
half-true,38,45,77,78,2,25
mostly-true,26,39,62,64,2,48
pants-fire,18,30,25,12,2,5
true,10,45,50,57,4,42
